user_id,template_1,template_2,template_3,template_4,template_5,template_6,template_7,template_8,template_9,template_10,template_11,template_12,template_13,template_14,template_15
1,5,5,7,4,14,7,1,5,4,13,12,3,1,12,5
2,10,13,8,9,7,14,10,11,1,1,7,1,4,7,2
3,7,9,14,3,11,8,9,8,9,9,15,9,4,5,11
4,0,1,6,8,2,12,0,2,10,14,3,2,0,10,14
5,3,0,13,3,8,5,9,6,5,5,13,8,14,5,0
6,10,3,11,10,8,5,11,13,2,11,14,6,11,2,10
7,3,8,2,5,6,0,3,11,12,5,6,13,14,10,12
8,9,10,6,4,3,9,2,10,6,8,2,13,8,13,15
9,9,12,6,4,10,6,5,14,4,2,6,1,10,3,11
10,2,13,0,1,4,7,5,6,14,14,10,14,7,14,4
11,7,3,15,11,14,2,0,4,10,11,3,5,4,13,11
12,1,13,1,11,10,3,4,8,3,14,6,9,10,14,4
13,12,1,2,12,4,13,6,10,1,1,3,11,11,5,8
14,12,11,7,10,10,11,14,6,11,11,1,1,7,10,6
15,13,0,1,4,1,3,15,4,3,7,14,5,10,9,9
